2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:985 - Inserimento completato: 44 righe inserite su 44 totali
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:989 - Righe nella tabella dopo inserimento: 44
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:994 - Prima riga visibile - ID: 26
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per column_resize in 500ms
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:40 - Cancellata chiamata precedente per column_resize
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per column_resize in 500ms
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per update_scrollbars in 250ms
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:1019 - Refresh interfaccia completato
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:1023 - update_data() COMPLETATO
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:245 - update_data() completato
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:255 - UI refresh skipped - finestra non inizializzata
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:216 - Inizio caricamento dati portfolio
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:217 - Portfolio table exists: True
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:239 - Dati dalla cache: 44 righe
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:243 - Aggiornando portfolio_table con 44 righe
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:942 - update_data() chiamato con DataFrame: 44 righe, vuoto: False
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:943 - portfolio_tree exists: True
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:948 - Cancellando 44 righe esistenti dalla tabella
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:951 - Tabella pulita con successo
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:968 - Iniziando inserimento 44 righe nella tabella
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:974 - Inserendo riga 1: ID=26, Asset=Bitcoin
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:974 - Inserendo riga 2: ID=7, Asset=Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:974 - Inserendo riga 3: ID=8, Asset=Invesco EQQQ Nasdaq-100 UCITS ETF Acc EUR
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:985 - Inserimento completato: 44 righe inserite su 44 totali
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:989 - Righe nella tabella dopo inserimento: 44
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:994 - Prima riga visibile - ID: 26
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:40 - Cancellata chiamata precedente per column_resize
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per column_resize in 500ms
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:40 - Cancellata chiamata precedente per column_resize
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per column_resize in 500ms
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:40 - Cancellata chiamata precedente per update_scrollbars
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per update_scrollbars in 250ms
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:1019 - Refresh interfaccia completato
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:1023 - update_data() COMPLETATO
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:245 - update_data() completato
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:255 - UI refresh skipped - finestra non inizializzata
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:13:57 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:30 [DEBUG   ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:99 - Validando path portfolio: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:14:30 [INFO    ] GABAssetMind.PathSecurity.security_validation.validate_portfolio_path:116 - Path portfolio validato con successo: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:14:30 [INFO    ] GABAssetMind.PortfolioManager.models.__init__:123 - Path portfolio validato: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:14:30 [INFO    ] GABAssetMind.main.main._initialize_portfolio_system:93 - Portfolio system initialized: C:\Users\Utente\OneDrive\GAB_App\GAB_AssetMind\portfolio_data.xlsx
2025-09-13 16:14:31 [INFO    ] GABAssetMind.PortfolioTable.ui_components._initialize_performance_optimizers:523 - Performance optimizers inizializzati
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:216 - Inizio caricamento dati portfolio
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:217 - Portfolio table exists: True
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:229 - Caricando solo asset correnti
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:232 - Dati caricati: 44 righe
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:234 - Colonne disponibili: ['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount']
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:243 - Aggiornando portfolio_table con 44 righe
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:942 - update_data() chiamato con DataFrame: 44 righe, vuoto: False
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:943 - portfolio_tree exists: True
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:948 - Cancellando 0 righe esistenti dalla tabella
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:951 - Tabella pulita con successo
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:968 - Iniziando inserimento 44 righe nella tabella
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:974 - Inserendo riga 1: ID=26, Asset=Bitcoin
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:974 - Inserendo riga 2: ID=7, Asset=Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:974 - Inserendo riga 3: ID=8, Asset=Invesco EQQQ Nasdaq-100 UCITS ETF Acc EUR
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:985 - Inserimento completato: 44 righe inserite su 44 totali
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:989 - Righe nella tabella dopo inserimento: 44
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:994 - Prima riga visibile - ID: 26
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.get_current_assets_only:458 - current_assets_only: input_rows=47 output_rows=44
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per column_resize in 500ms
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:40 - Cancellata chiamata precedente per column_resize
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per column_resize in 500ms
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.UIDebouncer.ui_performance.debounce:57 - Programmata chiamata debounced per update_scrollbars in 250ms
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:1019 - Refresh interfaccia completato
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioTable.ui_components.update_data:1023 - update_data() COMPLETATO
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:245 - update_data() completato
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.main.main._load_portfolio_data:255 - UI refresh skipped - finestra non inizializzata
2025-09-13 16:14:31 [DEBUG   ] GABAssetMind.PortfolioManager.models.load_data:152 - load_data: columns=['id', 'category', 'position', 'asset_name', 'isin', 'ticker', 'risk_level', 'created_at', 'created_amount', 'created_unit_price', 'created_total_value', 'updated_at', 'updated_amount', 'updated_unit_price', 'updated_total_value', 'accumulation_plan', 'accumulation_amount', 'income_per_year', 'rental_income', 'note', 'riskLevel', 'createdAt', 'createdAmount', 'updatedAt', 'updatedAmount'] rows=47
